number,zip_file,bill_file,act_file,bill_url,act_url,status
76,AMENDMENT_76_31081994.zip,MISSING,AMENDMENT_76_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030264-1.pdf,MISSING_BILL
77,AMENDMENT_77_17061995.zip,MISSING,AMENDMENT_77_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030267-1.pdf,MISSING_BILL
78,AMENDMENT_78_30081995.zip,MISSING,AMENDMENT_78_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030240.pdf,MISSING_BILL
79,AMENDMENT_79_25012000.zip,MISSING,AMENDMENT_79_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/10/20231019870237849.pdf,MISSING_BILL
80,AMENDMENT_80_09062000.zip,MISSING,AMENDMENT_80_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030297-1.pdf,MISSING_BILL
81,AMENDMENT_81_09062000.zip,MISSING,AMENDMENT_81_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030230-2.pdf,MISSING_BILL
82,AMENDMENT_82_08092000.zip,MISSING,AMENDMENT_82_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030218-1.pdf,MISSING_BILL
83,AMENDMENT_83_08092000.zip,MISSING,AMENDMENT_83_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030286.pdf,MISSING_BILL
84,AMENDMENT_84_21022002.zip,MISSING,AMENDMENT_84_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030231-1.pdf,MISSING_BILL
85,AMENDMENT_85_04012002.zip,MISSING,AMENDMENT_85_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030246-1.pdf,MISSING_BILL
86,AMENDMENT_86_12122002.zip,MISSING,AMENDMENT_86_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030232-1.pdf,MISSING_BILL
87,AMENDMENT_87_22062003.zip,MISSING,AMENDMENT_87_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030226-1.pdf,MISSING_BILL
88,AMENDMENT_88_11022003_but_enforced_15012004.zip,MISSING,AMENDMENT_88_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030270.pdf,MISSING_BILL
89,AMENDMENT_89_28092003.zip,MISSING,AMENDMENT_89_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030230-1.pdf,MISSING_BILL
90,AMENDMENT_90_28092003.zip,MISSING,AMENDMENT_90_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030261.pdf,MISSING_BILL
91,AMENDMENT_91_01012004.zip,MISSING,AMENDMENT_91_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/202310191547304399.pdf,MISSING_BILL
92,AMENDMENT_92_07012004.zip,MISSING,AMENDMENT_92_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/202310191652938261.pdf,MISSING_BILL
93,AMENDMENT_93_20012006.zip,MISSING,AMENDMENT_93_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/20231019528206433.pdf,MISSING_BILL
94,AMENDMENT_94_12062006.zip,MISSING,AMENDMENT_94_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030212.pdf,MISSING_BILL
95,AMENDMENT_95_25012010.zip,MISSING,AMENDMENT_95_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030236.pdf,MISSING_BILL
96,AMENDMENT_96_23092011.zip,MISSING,AMENDMENT_96_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030222.pdf,MISSING_BILL
